timestamp,curr_state,curr_action,next_state,g
1666331967,0,K,0,20
1666331967,0,I,1,25
1666331967,1,D,0,20
1666331967,0,K,0,20
1666331967,0,K,0,20
1666331968,0,I,1,25
1666331968,1,D,0,20
1666331968,0,K,0,20
1666331968,0,I,1,25
1666331968,1,K,1,25
1666331968,1,K,1,25
1666331969,1,K,1,25
1666331969,1,K,1,25
1666331969,1,I,2,30
1666331969,2,I,3,35
1666331969,3,K,3,35
1666331969,3,D,2,30
1666331969,2,I,3,35
1666331970,3,D,2,30
1666331970,2,D,1,25
1666331970,1,D,0,20
1666331970,0,K,0,20
1666331970,0,K,0,20
1666331970,0,K,0,20
1666331971,0,K,0,20
1666331971,0,K,0,20
1666331971,0,I,1,25
1666331971,1,D,0,20
1666331971,0,I,1,25
1666331971,1,K,1,25
1666331971,1,D,0,20
1666331972,0,K,0,20
1666331972,0,I,1,25
1666331972,1,K,1,25
1666331972,1,D,0,20
1666331972,0,I,1,25
1666331972,1,I,2,30
1666331973,2,K,2,30
1666331973,2,I,3,35
1666331973,3,K,3,35
1666331973,3,D,2,30
1666331973,2,D,1,25
1666331973,1,K,1,25
1666331974,1,D,0,20
1666331974,0,I,1,25
1666331974,1,D,0,20
1666331974,0,K,0,20
1666331974,0,I,1,25
1666331974,1,D,0,20
1666331975,0,I,1,25
1666331975,1,K,1,25
1666331975,1,K,1,25
1666331975,1,D,0,20
1666331975,0,I,1,25
1666331975,1,I,2,30
1666331976,2,I,3,35
1666331976,3,K,3,35
1666331976,3,K,3,35
1666331976,3,K,3,35
1666331976,3,D,2,30
1666331977,2,D,1,25
1666331977,1,D,0,20
1666331977,0,I,1,25
1666331977,1,K,1,25
1666331977,1,I,2,30
1666331977,2,I,3,35
1666331977,3,D,2,30
1666331978,2,K,2,30
1666331978,2,D,1,25
1666331978,1,K,1,25
1666331978,1,I,2,30
1666331978,2,D,1,25
1666331978,1,I,2,30
1666331979,2,I,3,35
1666331979,3,K,3,35
1666331979,3,I,4,40
1666331979,4,I,5,45
1666331979,5,I,6,50
1666331979,6,K,6,50
1666331980,6,K,6,50
1666331980,6,D,5,45
1666331980,5,D,4,40
1666331980,4,D,3,35
1666331980,3,I,4,40
1666331980,4,D,3,35
1666331981,3,D,2,30
1666331981,2,K,2,30
1666331981,2,I,3,35
1666331981,3,I,4,40
1666331981,4,K,4,40
1666331981,4,K,4,40
1666331982,4,I,5,45
1666331982,5,I,6,50
